time	current
42540.0	5.5061735626
42600.0	5.6053852265
42660.0	5.2520581197
42720.0	5.398830896
42780.0	5.6713910452
42840.0	5.2091882479
42900.0	5.2433804976
42960.0	5.6485156535
43020.0	5.8027281547
43080.0	5.3177717247
43140.0	5.317034947
43200.0	5.3482580747
43260.0	5.0882983071
43320.0	5.2177966546
43380.0	5.6240807077
43440.0	5.0907837945
43500.0	5.1367048611
43560.0	5.0273870963
43620.0	5.0179600233
43680.0	4.9695872187
43740.0	4.7745292531
43800.0	4.8008844233
43860.0	4.9079382368
43920.0	4.6643050878
43980.0	4.9164751566
44040.0	4.5648344219
44100.0	4.7034392309
44160.0	4.7944100366
44220.0	4.7980004334
44280.0	5.0604550634
44340.0	4.9675813216
44400.0	5.0567967457
44460.0	5.0561257045
44520.0	5.0228345648
44580.0	5.1844597717
44640.0	5.6355733194
44700.0	5.4849893847
44760.0	5.3876330973
44820.0	5.2864565574
44880.0	5.2974886092
44940.0	5.4841404145
45000.0	5.3733646196
45060.0	5.437943581
45120.0	5.4307352161
45180.0	5.5484362883
45240.0	5.2231130196
45300.0	5.2691607983
45360.0	5.5357820883
45420.0	5.1320189908
45480.0	5.2375320608
45540.0	5.0486812444
45600.0	5.2494606983
45660.0	5.0511230325
45720.0	5.4130486535
45780.0	5.8236022816
45840.0	5.5245641093
45900.0	5.6677580535
45960.0	5.7331735384
46020.0	5.9764481151
46080.0	5.7525559289
46140.0	5.5275396907
46200.0	5.3850607901
46260.0	5.7008531002
46320.0	5.7495958034
46380.0	5.4263093938
46440.0	5.5035637004
46500.0	5.4101724075
46560.0	5.9108543815
46620.0	6.1924991169
46680.0	5.8592427658
46740.0	5.6340941935
46800.0	5.8731045397
46860.0	5.7465908743
46920.0	5.5309789578
46980.0	5.6024337731
47040.0	5.4790806136
47100.0	5.6678463067
47160.0	5.5548752357
47220.0	5.8765869288
47280.0	6.1133965466
47340.0	6.016850391
47400.0	5.8247303828
47460.0	5.9970433894
47520.0	6.0823658513
47580.0	5.9422026453
47640.0	5.6339208353
47700.0	5.4842087326
47760.0	5.4398938805
47820.0	5.6836845321
47880.0	5.7348710333
47940.0	5.5855941409
48000.0	5.2946768746
48060.0	5.7499188648
48120.0	5.6417080599
48180.0	5.6123097936
48240.0	5.5141047175
48300.0	5.5622654234
48360.0	5.7291101958
48420.0	5.9344658318
48480.0	5.582370557
48540.0	6.3276892742
48600.0	6.3476688572
48660.0	6.2305829864
48720.0	6.2461496072
48780.0	6.3954563771
48840.0	6.2950108064
48900.0	6.5336073651
48960.0	6.5401609659
49020.0	6.5388864558
49080.0	6.2779623111
49140.0	5.9641922105
49200.0	5.8948475662
49260.0	6.063750836
49320.0	5.9852801973
49380.0	6.169121229
49440.0	6.0168978785
49500.0	5.8050227809
49560.0	5.8632165381
49620.0	5.8103834165
49680.0	5.7246527846
49740.0	6.0507437643
49800.0	5.7606734879
49860.0	5.4748438644
49920.0	5.1761358223
49980.0	5.4576375893
50040.0	5.8944589984
50100.0	5.8702644945
50160.0	5.9764018906
50220.0	5.9567345069
50280.0	5.7234279015
50340.0	5.4766138435
50400.0	5.589762616
50460.0	5.5155499393
50520.0	5.5673975254
50580.0	5.6882159016
50640.0	5.4471245156
50700.0	5.4103804309
50760.0	5.5564429763
50820.0	5.4913117967
50880.0	5.5411473032
50940.0	5.5242468081
51000.0	5.6104344114
51060.0	5.3977520866
51120.0	5.4240693691
51180.0	5.4073896137
51240.0	5.5322531782
51300.0	5.6409610102
51360.0	5.805493184
51420.0	5.6716291506
51480.0	5.6923358407
51540.0	5.4726703187
51600.0	5.6446859316
51660.0	5.3589851279
51720.0	5.4052146351
51780.0	5.9954527604
51840.0	5.6626609306
